rule,support,confidence,lift
burgers -> almonds -> ,0.005199306759098787,0.25490196078431376,2.923577382023146
frozen smoothie -> almonds -> ,0.0027996267164378083,0.13725490196078433,2.1674716202270385
olive oil -> almonds -> ,0.0029329422743634183,0.14379084967320263,2.1833505331957346
soup -> almonds -> ,0.0022663644847353685,0.1111111111111111,2.1990618586924655
avocado -> frozen smoothie -> ,0.005065991201173177,0.152,2.4003200000000002
avocado -> soup -> ,0.004399413411545127,0.132,2.6124854881266493
babies food -> chocolate -> ,0.0017331022530329288,0.3823529411764706,2.3336284880103384
bacon -> burgers -> ,0.001999733368884149,0.2307692307692308,2.6467889908256885
bacon -> cooking oil -> ,0.001599786695107319,0.18461538461538463,3.6156657963446475
bacon -> ground beef -> ,0.0021330489268097585,0.24615384615384614,2.5052917232021708
bacon -> pancakes -> ,0.0021330489268097585,0.24615384615384614,2.589621318373071
bacon -> spaghetti -> ,0.003199573390214638,0.36923076923076925,2.1206738131699847
burgers -> barbecue sauce -> ,0.001999733368884149,0.1851851851851852,2.1239664741193796
ground beef -> barbecue sauce -> ,0.0021330489268097585,0.19753086419753085,2.0104192840511246
turkey -> barbecue sauce -> ,0.0025329956005865884,0.2345679012345679,3.751585985416831
chicken -> black tea -> ,0.0017331022530329288,0.12149532710280372,2.025192107995846
black tea -> herb & pepper -> ,0.001999733368884149,0.14018691588785048,2.834345164622012
milk -> black tea -> ,0.004266097853619517,0.29906542056074764,2.3079112341833006
turkey -> black tea -> ,0.001999733368884149,0.14018691588785048,2.242093936193532
blueberries -> escalope -> ,0.0017331022530329288,0.18840579710144928,2.3751796370722205
blueberries -> ground beef -> ,0.0023996800426609784,0.2608695652173913,2.6550645979588223
blueberries -> spaghetti -> ,0.0034662045060658577,0.37681159420289856,2.164214217546663
french fries -> body spray -> ,0.004266097853619517,0.37209302325581395,2.17712150346479
soup -> body spray -> ,0.0018664178109585388,0.16279069767441862,3.221881327851752
cottage cheese -> brownies -> ,0.0034662045060658577,0.10276679841897232,3.225329518580382
bug spray -> chicken -> ,0.001599786695107319,0.18461538461538463,3.0773333333333337
ground beef -> bug spray -> ,0.0018664178109585388,0.2153846153846154,2.1921302578019
burger sauce -> chicken -> ,0.001599786695107319,0.2727272727272727,4.546060606060606
burger sauce -> spaghetti -> ,0.0023996800426609784,0.40909090909090906,2.3496101907281077
burgers -> cider -> ,0.0021330489268097585,0.20253164556962025,2.3229202957457513
burgers -> french wine -> ,0.0041327822956939075,0.1834319526627219,2.103857915784521
burgers -> ham -> ,0.005599253432875617,0.21105527638190955,2.420681388594348
butter -> chicken -> ,0.004266097853619517,0.1415929203539823,2.360196656833825
cake -> fresh tuna -> ,0.0037328356219170776,0.16766467065868262,2.0685077213993064
cake -> fromage blanc -> ,0.0023996800426609784,0.1764705882352941,2.1771478328173375
toothpaste -> cake -> ,0.0017331022530329288,0.21311475409836064,2.629233175150992
ham -> carrots -> ,0.001599786695107319,0.10434782608695653,3.9332313742626175
carrots -> herb & pepper -> ,0.0017331022530329288,0.11304347826086956,2.2855502168053436
oil -> carrots -> ,0.001599786695107319,0.10434782608695653,4.524352852475497
salmon -> carrots -> ,0.001999733368884149,0.13043478260869568,3.0670573804007093
shrimp -> carrots -> ,0.0023996800426609784,0.1565217391304348,2.1904282933160286
turkey -> carrots -> ,0.0025329956005865884,0.16521739130434784,2.6424214332066382
whole wheat rice -> carrots -> ,0.001999733368884149,0.13043478260869568,2.2286817866693083
cooking oil -> cereals -> ,0.0029329422743634183,0.1139896373056995,2.2324706773630596
fresh bread -> cereals -> ,0.0027996267164378083,0.10880829015544043,2.526845153114423
cereals -> herb & pepper -> ,0.003199573390214638,0.12435233160621763,2.5141963325558985
milk -> cereals -> ,0.007065724570057326,0.2746113989637306,2.119197637476279
cooking oil -> chicken -> ,0.006799093454206106,0.11333333333333334,2.2196170583115755
chicken -> eggplant -> ,0.0021330489268097585,0.1616161616161616,2.693961840628507
extra dark chocolate -> chicken -> ,0.0027996267164378083,0.23333333333333334,3.8894074074074076
fresh bread -> chicken -> ,0.005199306759098787,0.12074303405572756,2.0126522187822498
chicken -> fromage blanc -> ,0.0018664178109585388,0.1372549019607843,2.2878867102396514
light cream -> chicken -> ,0.004532728969470737,0.29059829059829057,4.84395061728395
magazines -> chicken -> ,0.001999733368884149,0.1829268292682927,3.0491869918699193
meatballs -> chicken -> ,0.003199573390214638,0.15286624203821658,2.548110403397028
rice -> chicken -> ,0.0025329956005865884,0.1347517730496454,2.2461623325453113
chicken -> white wine -> ,0.0021330489268097585,0.12903225806451613,2.1508243727598564
whole weat flour -> chicken -> ,0.0017331022530329288,0.1857142857142857,3.0956507936507935
chili -> spaghetti -> ,0.0023996800426609784,0.3913043478260869,2.2474532259138424
chocolate -> tomato sauce -> ,0.005065991201173177,0.3584905660377358,2.1879883936932925
eggs -> cider -> ,0.004266097853619517,0.4050632911392405,2.2539909101153137
milk -> cider -> ,0.003332888948140248,0.31645569620253167,2.4421133510444344
green tea -> clothes accessories -> ,0.0023996800426609784,0.2857142857142857,2.1626063139685745
shrimp -> clothes accessories -> ,0.001599786695107319,0.19047619047619047,2.665600568585643
cookies -> shallot -> ,0.001999733368884149,0.25862068965517243,3.2171041344999143
cooking oil -> extra dark chocolate -> ,0.001599786695107319,0.13333333333333336,2.6113141862489124
grated cheese -> cooking oil -> ,0.005732568990801226,0.11227154046997388,2.1428723284103666
cooking oil -> herb & pepper -> ,0.005332622317024397,0.10443864229765012,2.111574813678365
light cream -> cooking oil -> ,0.0027996267164378083,0.1794871794871795,3.5152306353350737
oil -> cooking oil -> ,0.0026663111585121984,0.11560693641618497,2.264145248192698
cooking oil -> protein bar -> ,0.0021330489268097585,0.11510791366906474,2.2543719593515785
cooking oil -> rice -> ,0.0021330489268097585,0.11347517730496452,2.2223950521267333
cooking oil -> soup -> ,0.005332622317024397,0.10443864229765012,2.067003313653492
toothpaste -> cooking oil -> ,0.0018664178109585388,0.22950819672131148,4.4948850746907505
frozen smoothie -> cottage cheese -> ,0.004932675643247567,0.15481171548117154,2.4447214269984583
whole wheat rice -> eggplant -> ,0.0021330489268097585,0.1616161616161616,2.761464301327627
escalope -> mushroom cream sauce -> ,0.005732568990801226,0.3006993006993007,3.790832696715049
pasta -> escalope -> ,0.005865884548726837,0.3728813559322034,4.700811850163794
escalope -> shallot -> ,0.0018664178109585388,0.2413793103448276,3.043002028397566
light cream -> extra dark chocolate -> ,0.001599786695107319,0.13333333333333336,8.54814814814815
mineral water -> extra dark chocolate -> ,0.005732568990801226,0.47777777777777775,2.0043686303753416
olive oil -> extra dark chocolate -> ,0.0026663111585121984,0.22222222222222224,3.3742690058479536
pancakes -> extra dark chocolate -> ,0.0023996800426609784,0.2,2.1040673211781207
shrimp -> extra dark chocolate -> ,0.0018664178109585388,0.15555555555555556,2.1769071310116086
flax seed -> green tea -> ,0.0030662578322890282,0.3382352941176471,2.560144239330445
french fries -> shallot -> ,0.0026663111585121984,0.3448275862068966,2.017591048469525
fresh bread -> french wine -> ,0.0027996267164378083,0.1242603550295858,2.8856870683496068
fresh tuna -> french wine -> ,0.0025329956005865884,0.11242603550295857,5.049746660525103
honey -> french wine -> ,0.0022663644847353685,0.10059171597633135,2.119490060501296
olive oil -> french wine -> ,0.0034662045060658577,0.15384615384615383,2.336032388663967
fresh bread -> tomato juice -> ,0.004266097853619517,0.14035087719298245,3.2593558198902826
fresh bread -> white wine -> ,0.0021330489268097585,0.12903225806451613,2.996504544092679
fresh tuna -> fromage blanc -> ,0.0023996800426609784,0.10778443113772455,7.926382529059528
frozen smoothie -> fresh tuna -> ,0.0029329422743634183,0.1317365269461078,2.080327765521589
honey -> fresh tuna -> ,0.003999466737768298,0.17964071856287428,3.7850703088205613
olive oil -> fresh tuna -> ,0.0037328356219170776,0.16766467065868262,2.5458556571068387
pancakes -> fresh tuna -> ,0.005065991201173177,0.2275449101796407,2.3938490480469636
frozen smoothie -> fromage blanc -> ,0.001999733368884149,0.14705882352941177,2.322291021671827
frozen vegetables -> fromage blanc -> ,0.0026663111585121984,0.19607843137254902,2.057040998217469
honey -> fromage blanc -> ,0.003332888948140248,0.2450980392156863,5.164270764485569
frozen smoothie -> gums -> ,0.0025329956005865884,0.18811881188118812,2.9706930693069307
frozen smoothie -> hot dogs -> ,0.004799360085321957,0.14814814814814814,2.339493177387914
frozen smoothie -> mint -> ,0.0022663644847353685,0.1297709923664122,2.049288871032543
frozen smoothie -> rice -> ,0.0025329956005865884,0.1347517730496454,2.1279432624113475
frozen smoothie -> vegetables mix -> ,0.003332888948140248,0.1295336787564767,2.0455413144259618
frozen smoothie -> whole weat flour -> ,0.001599786695107319,0.17142857142857143,2.707127819548872
